Data,Último,Abertura,Máxima,Mínima,Vol.,Var%,,,,
25.08.2023,115837,117025,117252,115397,"9,21M","-1,02%",,,,
24.08.2023,117026,118135,118136,116848,"9,20M","-0,94%",,,,
23.08.2023,118135,116160,118135,116159,"11,54M","1,70%",,,,
22.08.2023,116156,114433,116286,114433,"9,83M","1,51%",,,,
21.08.2023,114429,115404,115425,114067,"9,79M","-0,85%",,,,
18.08.2023,115409,114973,115729,114423,"10,60M","0,37%",,,,
17.08.2023,114982,115592,116610,114859,"12,75M","-0,53%",,,,
16.08.2023,115592,116171,117338,115534,"18,86M","-0,50%",,,,
15.08.2023,116171,116809,117697,116033,"14,64M","-0,55%",,,,
14.08.2023,116810,118067,118082,116530,"11,20M","-1,06%",,,,
11.08.2023,118065,118350,119054,117415,"11,87M","-0,24%",,,,
10.08.2023,118350,118412,119438,118113,"12,69M","-0,05%",,,,
09.08.2023,118409,119090,119090,117901,"11,25M","-0,57%",,,,
08.08.2023,119090,119378,119553,117492,"10,25M","-0,24%",,,,
07.08.2023,119380,119509,120104,118894,"8,73M","-0,11%",,,,
04.08.2023,119508,120586,121442,119215,"15,07M","-0,89%",,,,
03.08.2023,120586,120859,122619,120365,"13,03M","-0,23%",,,,
02.08.2023,120859,121249,121252,119798,"10,57M","-0,32%",,,,
01.08.2023,121248,121945,121945,120154,"10,30M","-0,57%",,,,
31.07.2023,121943,120188,122149,120188,"10,12M","1,46%",,,,
28.07.2023,120187,120002,120660,119706,"8,46M","0,16%",,,,
27.07.2023,119990,122560,122599,119825,"10,68M","-2,10%",,,,
26.07.2023,122560,122003,122747,121370,"9,99M","0,45%",,,,
25.07.2023,122008,121344,123010,121344,"11,43M","0,55%",,,,
24.07.2023,121342,120220,121772,120099,"10,49M","0,94%",,,,
21.07.2023,120217,118090,120373,118086,"11,18M","1,81%",,,,
20.07.2023,118083,117558,118290,117484,"8,99M","0,45%",,,,
19.07.2023,117552,117842,118011,116660,"9,73M","-0,25%",,,,
18.07.2023,117841,118218,118732,117324,"8,58M","-0,32%",,,,
17.07.2023,118219,117711,118302,116591,"8,20M","0,43%",,,,
14.07.2023,117711,119268,119329,117526,"8,98M","-1,30%",,,,
13.07.2023,119264,117671,119739,117668,"9,26M","1,36%",,,,
12.07.2023,117666,117557,119156,117557,"8,94M","0,38%",,,,
11.07.2023,117220,117942,117942,115704,"10,59M","-0,61%",,,,
10.07.2023,117942,118897,118897,117814,"8,10M","-0,80%",,,,
07.07.2023,118898,117427,119549,117427,"10,52M","1,25%",,,,
06.07.2023,117426,119548,119548,117096,"11,03M","-1,78%",,,,
05.07.2023,119549,119072,120200,118688,"10,96M","0,40%",,,,
04.07.2023,119076,119673,119678,118830,"6,56M","-0,50%",,,,
03.07.2023,119673,118092,119877,118092,"8,91M","1,34%",,,,
30.06.2023,118087,118388,119447,118087,"13,82M","-0,25%",,,,
29.06.2023,118383,116683,118623,116683,"11,06M","1,46%",,,,
28.06.2023,116681,117524,117937,116560,"10,65M","-0,72%",,,,
27.06.2023,117523,118246,119212,116561,"13,08M","-0,61%",,,,
26.06.2023,118243,118977,119148,117491,"10,46M","-0,62%",,,,
23.06.2023,118977,118959,119386,118178,"12,85M","0,04%",,,,
22.06.2023,118934,120420,120420,118018,"11,83M","-1,23%",,,,
21.06.2023,120420,119623,120519,119332,"11,74M","0,67%",,,,
20.06.2023,119622,119858,119858,118416,"10,92M","-0,20%",,,,
19.06.2023,119858,118757,119939,118558,"6,78M","0,93%",,,,
16.06.2023,118758,119208,119555,118487,"15,25M","-0,39%",,,,
15.06.2023,119221,119068,119686,118693,"12,30M","0,13%",,,,
14.06.2023,119069,116753,119085,116745,"16,94M","1,99%",,,,
13.06.2023,116743,117337,117924,116363,"12,39M","-0,51%",,,,
12.06.2023,117336,117022,117735,116704,"12,02M","0,27%",,,,
09.06.2023,117019,115489,117603,115489,"13,53M","1,33%",,,,
07.06.2023,115488,114610,115978,114610,"14,02M","0,77%",,,,
